Polychromatic Diffraction MTF

File : E:\2015_Sergio\666_Thesis\10 LaTeX\figures\30_DesignSimulation\Optical\ZEMAX\Bimodal.zmx
Title: 20160420 WEIGHT GRINNA 0.2, ISNA 0.022, WD 7.5MM
Date : MON JAN 16 2017
Configuration 1 of 5

Data for 1.3300 to 1.3300 µm.
Surface: Image (Image)
Spatial Frequency units are cycles per mm.
Modulation is relative to 1.0.

Field: Diffraction limit
Spatial Frequency	  Tangential	    Sagittal
         0.000000	    1.000000	    1.000000
         0.500000	    0.994459	    0.994459
         1.000000	    0.987913	    0.987913
         1.500000	    0.980174	    0.980174
         2.000000	    0.971276	    0.971276
         2.500000	    0.961228	    0.961228
         3.000000	    0.950055	    0.950055
         3.500000	    0.937784	    0.937784
         4.000000	    0.924444	    0.924444
         4.500000	    0.910070	    0.910070
         5.000000	    0.894699	    0.894699
         5.500000	    0.878373	    0.878373
         6.000000	    0.861136	    0.861136
         6.500000	    0.843035	    0.843035
         7.000000	    0.824125	    0.824125
         7.500000	    0.804453	    0.804453
         8.000000	    0.784069	    0.784069
         8.500000	    0.763086	    0.763086
         9.000000	    0.741638	    0.741638
         9.500000	    0.719666	    0.719666
        10.000000	    0.697213	    0.697213
        10.500000	    0.674372	    0.674372
        11.000000	    0.651182	    0.651182
        11.500000	    0.627718	    0.627718
        12.000000	    0.604131	    0.604131
        12.500000	    0.580493	    0.580493
        13.000000	    0.556756	    0.556756
        13.500000	    0.532991	    0.532991
        14.000000	    0.509282	    0.509282
        14.500000	    0.485654	    0.485654
        15.000000	    0.462208	    0.462208
        15.500000	    0.439086	    0.439086
        16.000000	    0.416284	    0.416284
        16.500000	    0.393792	    0.393792
        17.000000	    0.371637	    0.371637
        17.500000	    0.350000	    0.350000
        18.000000	    0.328873	    0.328873
        18.500000	    0.308299	    0.308299
        19.000000	    0.288355	    0.288355
        19.500000	    0.268988	    0.268988
        20.000000	    0.250196	    0.250196
        20.500000	    0.231994	    0.231994
        21.000000	    0.214564	    0.214564
        21.500000	    0.197798	    0.197798
        22.000000	    0.181793	    0.181793
        22.500000	    0.166523	    0.166523
        23.000000	    0.151971	    0.151971
        23.500000	    0.138219	    0.138219
        24.000000	    0.125136	    0.125136
        24.500000	    0.112878	    0.112878
        25.000000	    0.101273	    0.101273
        25.500000	    0.090450	    0.090450
        26.000000	    0.080305	    0.080305
        26.500000	    0.070851	    0.070851
        27.000000	    0.062107	    0.062107
        27.500000	    0.053960	    0.053960
        28.000000	    0.046519	    0.046519
        28.500000	    0.039617	    0.039617
        29.000000	    0.033511	    0.033511
        29.500000	    0.027925	    0.027925
        30.000000	    0.022867	    0.022867
        30.500000	    0.018319	    0.018319
        31.000000	    0.014275	    0.014275
        31.500000	    0.010810	    0.010810
        32.000000	    0.007748	    0.007748
        32.500000	    0.005345	    0.005345
        33.000000	    0.003270	    0.003270
        33.500000	    0.001670	    0.001670
        34.000000	    0.000449	    0.000449
        34.500000	    0.000000	    0.000000
        35.000000	    0.000097	    0.000097
        35.500000	    0.000000	    0.000000
        36.000000	    0.000000	    0.000000

Field: 0.0000, 0.0000 mm
Spatial Frequency	  Tangential	    Sagittal
         0.000000	    1.000000	    1.000000
         0.500000	    0.994459	    0.994459
         1.000000	    0.987913	    0.987913
         1.500000	    0.980174	    0.980174
         2.000000	    0.971276	    0.971276
         2.500000	    0.961227	    0.961227
         3.000000	    0.950054	    0.950054
         3.500000	    0.937783	    0.937783
         4.000000	    0.924442	    0.924442
         4.500000	    0.910069	    0.910069
         5.000000	    0.894697	    0.894697
         5.500000	    0.878371	    0.878371
         6.000000	    0.861134	    0.861134
         6.500000	    0.843032	    0.843032
         7.000000	    0.824121	    0.824121
         7.500000	    0.804449	    0.804449
         8.000000	    0.784065	    0.784065
         8.500000	    0.763082	    0.763082
         9.000000	    0.741634	    0.741634
         9.500000	    0.719663	    0.719663
        10.000000	    0.697209	    0.697209
        10.500000	    0.674368	    0.674368
        11.000000	    0.651178	    0.651178
        11.500000	    0.627714	    0.627714
        12.000000	    0.604128	    0.604128
        12.500000	    0.580489	    0.580489
        13.000000	    0.556753	    0.556753
        13.500000	    0.532988	    0.532988
        14.000000	    0.509279	    0.509279
        14.500000	    0.485652	    0.485652
        15.000000	    0.462206	    0.462206
        15.500000	    0.439084	    0.439084
        16.000000	    0.416282	    0.416282
        16.500000	    0.393790	    0.393790
        17.000000	    0.371635	    0.371635
        17.500000	    0.349999	    0.349999
        18.000000	    0.328872	    0.328872
        18.500000	    0.308298	    0.308298
        19.000000	    0.288354	    0.288354
        19.500000	    0.268987	    0.268987
        20.000000	    0.250196	    0.250196
        20.500000	    0.231993	    0.231993
        21.000000	    0.214563	    0.214563
        21.500000	    0.197798	    0.197798
        22.000000	    0.181793	    0.181793
        22.500000	    0.166523	    0.166523
        23.000000	    0.151971	    0.151971
        23.500000	    0.138219	    0.138219
        24.000000	    0.125136	    0.125136
        24.500000	    0.112878	    0.112878
        25.000000	    0.101273	    0.101273
        25.500000	    0.090450	    0.090450
        26.000000	    0.080305	    0.080305
        26.500000	    0.070851	    0.070851
        27.000000	    0.062106	    0.062106
        27.500000	    0.053960	    0.053960
        28.000000	    0.046519	    0.046519
        28.500000	    0.039617	    0.039617
        29.000000	    0.033510	    0.033510
        29.500000	    0.027925	    0.027925
        30.000000	    0.022867	    0.022867
        30.500000	    0.018318	    0.018318
        31.000000	    0.014275	    0.014275
        31.500000	    0.010810	    0.010810
        32.000000	    0.007748	    0.007748
        32.500000	    0.005345	    0.005345
        33.000000	    0.003270	    0.003270
        33.500000	    0.001670	    0.001670
        34.000000	    0.000449	    0.000449
        34.500000	    0.000000	    0.000000
        35.000000	    0.000097	    0.000097
        35.500000	    0.000000	    0.000000
        36.000000	    0.000000	    0.000000
