Polychromatic Diffraction MTF

File : E:\2015_Sergio\666_Thesis\10 LaTeX\figures\30_DesignSimulation\Optical\ZEMAX\Single Mode.zmx
Title: 20160909 Single Mode Fiber GRIN Lens.zmx
Date : MON JAN 16 2017
Configuration 1 of 3

Data for 1.3300 to 1.3300 µm.
Surface: Image (Image)
Spatial Frequency units are cycles per mm.
Modulation is relative to 1.0.

Field: Diffraction limit
Spatial Frequency	  Tangential	    Sagittal
         0.000000	    1.000000	    1.000000
         0.500000	    0.994459	    0.994459
         1.000000	    0.987913	    0.987913
         1.500000	    0.980173	    0.980173
         2.000000	    0.971274	    0.971274
         2.500000	    0.961225	    0.961225
         3.000000	    0.950051	    0.950051
         3.500000	    0.937780	    0.937780
         4.000000	    0.924438	    0.924438
         4.500000	    0.910064	    0.910064
         5.000000	    0.894691	    0.894691
         5.500000	    0.878364	    0.878364
         6.000000	    0.861126	    0.861126
         6.500000	    0.843023	    0.843023
         7.000000	    0.824111	    0.824111
         7.500000	    0.804437	    0.804437
         8.000000	    0.784052	    0.784052
         8.500000	    0.763067	    0.763067
         9.000000	    0.741618	    0.741618
         9.500000	    0.719645	    0.719645
        10.000000	    0.697189	    0.697189
        10.500000	    0.674347	    0.674347
        11.000000	    0.651155	    0.651155
        11.500000	    0.627690	    0.627690
        12.000000	    0.604102	    0.604102
        12.500000	    0.580462	    0.580462
        13.000000	    0.556724	    0.556724
        13.500000	    0.532958	    0.532958
        14.000000	    0.509248	    0.509248
        14.500000	    0.485619	    0.485619
        15.000000	    0.462172	    0.462172
        15.500000	    0.439050	    0.439050
        16.000000	    0.416246	    0.416246
        16.500000	    0.393754	    0.393754
        17.000000	    0.371598	    0.371598
        17.500000	    0.349961	    0.349961
        18.000000	    0.328834	    0.328834
        18.500000	    0.308261	    0.308261
        19.000000	    0.288316	    0.288316
        19.500000	    0.268949	    0.268949
        20.000000	    0.250158	    0.250158
        20.500000	    0.231956	    0.231956
        21.000000	    0.214527	    0.214527
        21.500000	    0.197762	    0.197762
        22.000000	    0.181757	    0.181757
        22.500000	    0.166489	    0.166489
        23.000000	    0.151937	    0.151937
        23.500000	    0.138187	    0.138187
        24.000000	    0.125105	    0.125105
        24.500000	    0.112848	    0.112848
        25.000000	    0.101244	    0.101244
        25.500000	    0.090423	    0.090423
        26.000000	    0.080279	    0.080279
        26.500000	    0.070827	    0.070827
        27.000000	    0.062083	    0.062083
        27.500000	    0.053938	    0.053938
        28.000000	    0.046498	    0.046498
        28.500000	    0.039598	    0.039598
        29.000000	    0.033493	    0.033493
        29.500000	    0.027909	    0.027909
        30.000000	    0.022852	    0.022852
        30.500000	    0.018305	    0.018305
        31.000000	    0.014263	    0.014263
        31.500000	    0.010799	    0.010799
        32.000000	    0.007740	    0.007740
        32.500000	    0.005337	    0.005337
        33.000000	    0.003264	    0.003264
        33.500000	    0.001664	    0.001664
        34.000000	    0.000446	    0.000446
        34.500000	    0.000000	    0.000000
        35.000000	    0.000096	    0.000096
        35.500000	    0.000000	    0.000000
        36.000000	    0.000000	    0.000000

Field: 0.0000, 0.0000 mm
Spatial Frequency	  Tangential	    Sagittal
         0.000000	    1.000000	    1.000000
         0.500000	    0.994459	    0.994459
         1.000000	    0.987913	    0.987913
         1.500000	    0.980173	    0.980173
         2.000000	    0.971274	    0.971274
         2.500000	    0.961225	    0.961225
         3.000000	    0.950051	    0.950051
         3.500000	    0.937779	    0.937779
         4.000000	    0.924438	    0.924438
         4.500000	    0.910063	    0.910063
         5.000000	    0.894690	    0.894690
         5.500000	    0.878363	    0.878363
         6.000000	    0.861124	    0.861124
         6.500000	    0.843022	    0.843022
         7.000000	    0.824109	    0.824109
         7.500000	    0.804436	    0.804436
         8.000000	    0.784050	    0.784050
         8.500000	    0.763066	    0.763066
         9.000000	    0.741616	    0.741616
         9.500000	    0.719643	    0.719643
        10.000000	    0.697188	    0.697188
        10.500000	    0.674346	    0.674346
        11.000000	    0.651154	    0.651154
        11.500000	    0.627688	    0.627688
        12.000000	    0.604100	    0.604100
        12.500000	    0.580461	    0.580461
        13.000000	    0.556723	    0.556723
        13.500000	    0.532956	    0.532956
        14.000000	    0.509247	    0.509247
        14.500000	    0.485618	    0.485618
        15.000000	    0.462171	    0.462171
        15.500000	    0.439049	    0.439049
        16.000000	    0.416245	    0.416245
        16.500000	    0.393753	    0.393753
        17.000000	    0.371597	    0.371597
        17.500000	    0.349961	    0.349961
        18.000000	    0.328834	    0.328834
        18.500000	    0.308260	    0.308260
        19.000000	    0.288316	    0.288316
        19.500000	    0.268949	    0.268949
        20.000000	    0.250158	    0.250158
        20.500000	    0.231956	    0.231956
        21.000000	    0.214527	    0.214527
        21.500000	    0.197762	    0.197762
        22.000000	    0.181757	    0.181757
        22.500000	    0.166489	    0.166489
        23.000000	    0.151937	    0.151937
        23.500000	    0.138187	    0.138187
        24.000000	    0.125105	    0.125105
        24.500000	    0.112848	    0.112848
        25.000000	    0.101244	    0.101244
        25.500000	    0.090423	    0.090423
        26.000000	    0.080278	    0.080278
        26.500000	    0.070826	    0.070826
        27.000000	    0.062083	    0.062083
        27.500000	    0.053938	    0.053938
        28.000000	    0.046498	    0.046498
        28.500000	    0.039598	    0.039598
        29.000000	    0.033493	    0.033493
        29.500000	    0.027909	    0.027909
        30.000000	    0.022852	    0.022852
        30.500000	    0.018305	    0.018305
        31.000000	    0.014263	    0.014263
        31.500000	    0.010799	    0.010799
        32.000000	    0.007740	    0.007740
        32.500000	    0.005337	    0.005337
        33.000000	    0.003264	    0.003264
        33.500000	    0.001664	    0.001664
        34.000000	    0.000446	    0.000446
        34.500000	    0.000000	    0.000000
        35.000000	    0.000096	    0.000096
        35.500000	    0.000000	    0.000000
        36.000000	    0.000000	    0.000000
